k,P(X=k),P(X≤k)
0,1.79188087608904e-09,1.7918808760890402e-09
1,3.608848084443327e-08,3.788036172052231e-08
2,3.63411002103443e-07,4.012913638239653e-07
3,2.4396991941211155e-06,2.8409905579450808e-06
4,1.2283885442399815e-05,1.5124876000344894e-05
5,4.947949056198649e-05,6.460436656233132e-05
6,0.0001660861566530678,0.0002306905232153991
7,0.00047785359928468354,0.0007085441225000824
8,0.0012029964361991905,0.0019115405586992737
9,0.002692038691672414,0.0046035792503716895
10,0.005421765925028236,0.010025345175399951
11,0.009926760520915368,0.01995210569631525
12,0.016660413074269603,0.03661251877058475
13,0.025810824562752983,0.06242334333333801
14,0.03713071476384607,0.09955405809718404
15,0.04985417302292414,0.14940823112010812
16,0.06275394029260553,0.21216217141271393
17,0.07434496220547482,0.28650713361818947
18,0.08318375215657069,0.36969088577476006
19,0.08817477728596511,0.45786566306072485
20,0.0887920007269666,0.5466576637876911
21,0.08515575688767152,0.6318134206753628
22,0.07795622471444165,0.7097696453898041
23,0.06826253764125431,0.7780321830310584
24,0.05728364617061926,0.8353158292016778
25,0.046147705355050785,0.8814635345567284
26,0.03574672253271993,0.9172102570894487
27,0.02666440710403675,0.9438746641934851
28,0.019179327109831834,0.963053991303317
29,0.013319711999724726,0.9763737033030417
30,0.008941966655815274,0.9853156699588569
31,0.0058093938209070484,0.991125063779764
32,0.003656287236033379,0.9947813510157972
33,0.002231443179809408,0.9970127941956067
34,0.0013218019306283054,0.998334596126235
35,0.0007606025966529834,0.999095198722888
36,0.00042551489712752303,0.9995207136200155
37,0.00023161810886887881,0.9997523317288843
38,0.00012275759770050406,0.9998750893265849
39,6.33932825048248e-05,0.9999384826090897
40,3.191851774117891e-05,0.9999704011268309
41,1.5678998714813288e-05,0.9999860801255457
42,7.518453193246198e-06,0.9999935985787389
43,3.5214336584180673e-06,0.9999971200123974
44,1.611856224557767e-06,0.9999987318686219
45,7.213952080575895e-07,0.99999945326383
46,3.158456410930588e-07,0.9999997691094711
47,1.353432172683805e-07,0.9999999044526883
48,5.6787758245526576e-08,0.9999999612404465
49,2.334092757275366e-08,0.9999999845813742
50,9.401725626304938e-09,0.9999999939830998
